image_name,ctr,black_x,text,girl,headwear,poster,fun,skyblue
imgcontent.bb-new-york-prospect-park-2-peden-munk-b23367_imgtemp.bb-lifestyle-grass,0.004684838160136286,0.07428270252421498,0.0,0.6884520649909973,0.0,0.0,0.0,0.0
imgcontent.bb-new-york-prospect-park-2-peden-munk-b23367_imgtemp.bblifestyle,0.005033716402317409,0.07428270252421498,0.0,0.6884521245956421,0.2451452612876892,0.0,0.0,0.0
imgcontent.bb-new-york-prospect-park-2-peden-munk-b23367_imgtemp.lifestyle,0.006642206477732794,0.07428270252421498,0.0,0.6884520649909973,0.2451452612876892,0.0,0.0,0.0
imgcontent.bb-new-york-prospect-park-peden-munk-a019295_imgtemp.bb-lifestyle,0.00959116907481189,0.0,0.0,0.7519660592079163,0.0,0.0,0.7246077060699463,0.0
imgcontent.bb-new-york-prospect-park-peden-munk-a019295_imgtemp.lifestyle,0.0026919515791639518,0.0,0.0,0.7519660592079163,0.0,0.0,0.7246077060699463,0.0
imgcontent.bb-new-york-surf-lodge-peden-munk-b000593_imgtemp.bb-lifestyle,0.005263658722885514,0.030126582831144333,0.0,0.7930147647857666,0.0,0.0,0.0,0.0
imgcontent.bb-new_york-house-product-pickup-peden-munk-a008938_imgtemp.bb-lifestyle,0.0024271844660194173,0.169479605431358,0.0,0.0,0.0,0.0,0.0,0.0
imgcontent.bb-new_york-house_product_pickup-peden_munk-a008938 _imgtemp.bb-lifestyle,0.0052887875238858415,0.169479605431358,0.0,0.0,0.0,0.0,0.0,0.0
imgcontent.bb-new_york-house_product_pickup-peden_munk-a008938_imgtemp.bb-lifestyle,0.0046049442559379546,0.169479605431358,0.0,0.0,0.0,0.0,0.0,0.0
imgcontent.bb-new_york-house_product_pickup-peden_munk-a008938_imgtemp.bblifestyle,0.006018402885316656,0.169479605431358,0.0,0.0,0.0,0.0,0.0,0.0
imgcontent.bb-new_york-museum-peden-munk-b006593_imgtemp.bb-lifestyle,0.0033305578684429643,0.08751054853200912,0.0,0.6121936440467834,0.0,0.0,0.0,0.0
imgcontent.bb-new_york-museum-peden_munk-b006593_imgtemp.bb-lifestyle,0.007850409635653725,0.08751054853200912,0.0,0.6121936440467834,0.0,0.0,0.0,0.0
imgcontent.bb-new_york-museum-peden_munk-b007142_imgtemp.bb-lifestyle,0.004838024255499984,0.04312236234545708,0.0,0.0,0.0,0.0,0.0,0.0
imgcontent.bbfriendsplayingguitar_imgtemp.applebadge,0.0046270616177689445,0.2913539707660675,0.0,0.0,0.0,0.0,0.0,0.0
imgcontent.bbwomansleeping_imgtemp.applebadge,0.006232976549158451,0.2564511199016124,0.0,0.6460325121879578,0.0,0.0,0.0,0.0
imgcontent.beberexha_imgtemp.pressshot,0.00915175522469608,0.0668666660785675,0.0,0.8115593791007996,0.333028644323349,0.0,0.0,0.061000000685453415
imgcontent.blocboy-drake-lookalive-pressshot_imgtemp.pressshot,0.016217612149039034,0.18806397879961878,0.0,0.0,0.0,0.0,0.6036565899848938,0.0
imgcontent.blondedradio_imgtemp.rschalf,0.007536727998858936,0.02592954959254712,0.0,0.0,0.0,0.0,0.0,0.0
imgcontent.brandicarlile-thejoke_imgtemp.achalf8gradient,0.01300103842159917,0.1994936764240265,0.8508661985397339,0.0,0.0,0.0,0.0,0.013417721726000309
imgcontent.bretteldredge_imgtemp.achalf,0.00716652539107652,0.18494047224521637,0.0,0.0,0.0,0.0,0.0,0.0
imgcontent.bretteldredge_imgtemp.pressshot,0.00926400820618028,0.18494047224521637,0.0,0.0,0.0,0.0,0.0,0.0
imgcontent.browse-cropped-20170623_imgtemp.browsevideo-cropped,0.006814835108386699,0.01827160455286503,0.9179019331932068,0.0,0.0,0.0,0.0,0.030342934653162956
imgcontent.browse-cropped-20170630_imgtemp.browsevideo-cropped,0.007321439552855805,0.19330589473247528,0.9025036096572876,0.0,0.0,0.0,0.0,0.0
imgcontent.brunomars-pressshot_imgtemp.pressshot,0.02800405268490375,0.04284382238984108,0.0,0.0,0.7284277081489563,0.0,0.0,0.0
imgcontent.brunomars-thatswhatilike_imgtemp.achalf,0.006477824338739546,0.028776371851563454,0.0,0.0,0.0,0.0,0.0,0.0
imgcontent.brunomars-thatswhatilike_imgtemp.achalf8,0.0058916359810625984,0.028776371851563454,0.0,0.0,0.41437384486198425,0.0,0.0,0.0
imgcontent.brunomars-thatswhatilike_imgtemp.achalf8gradient-amiconget3mosfreef,0.006044185077115465,0.02598290517926216,0.8862454891204834,0.0,0.4507526457309723,0.0,0.0,0.0733333316942056
imgcontent.brunomars_imgtemp.3phones,0.003982192234191337,0.008776371367275715,0.0,0.0,0.0,0.0,0.0,0.0
imgcontent.brunomars_imgtemp.avhalf,0.008332408567034988,0.028776371851563454,0.0,0.0,0.41437384486198425,0.0,0.0,0.0
imgcontent.brunomarscardib-finesse_imgtemp.achalf8gradient,0.012241407329630522,0.010548523627221584,0.8640207648277283,0.0,0.0,0.6575467586517334,0.0,0.016962025314569473
imgcontent.bts-video_imgtemp.artist-video,0.04147702699919682,0.14133332669734955,0.0,0.0,0.0,0.0,0.0,0.0
imgcontent.camilacabello-neverbethesame_imgtemp.achalf8gradiant,0.029899432616074407,0.0,0.0,0.0,0.7379955500364304,0.0,0.0,0.017299577593803406
imgcontent.camilacabello-neverbethesame_imgtemp.achalf8gradient,0.010557388435492273,0.0,0.0,0.0,0.7379955500364304,0.0,0.0,0.017299577593803406
